data_id,data_name,qualified_data_name
1,input1_data,[input1_data]
2,local_authority_source,[local_authority_source]
3,name_val_log,[name_val_log]
4,output2_data,[output2_data]
5,date_val_log,[date_val_log]
6,local_authority_source,clean_name_and_date_workflow[local_authority_source]
7,input1_data,clean_name_and_date_workflow[input1_data]
8,output1_data,clean_name_and_date_workflow[output1_data]
9,name_val_log,clean_name_and_date_workflow[name_val_log]
10,record_id_data,clean_name_and_date_workflow[record_id_data]
34,output2_data,clean_name_and_date_workflow[output2_data]
35,date_val_log,clean_name_and_date_workflow[date_val_log]
11,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data[name_val_log]
12,local_authority_source,clean_name_and_date_workflow.validate_scientificName_field_of_data[local_authority_source]
13,local_authority_source_scientificName_lst,clean_name_and_date_workflow.validate_scientificName_field_of_data[local_authority_source_scientificName_lst]
14,input1_data,clean_name_and_date_workflow.validate_scientificName_field_of_data[input1_data]
15,scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data[scientificName]
16,authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data[authorship]
17,RecordID,clean_name_and_date_workflow.validate_scientificName_field_of_data[RecordID]
18,others,clean_name_and_date_workflow.validate_scientificName_field_of_data[others]
19,record_id_data,clean_name_and_date_workflow.validate_scientificName_field_of_data[record_id_data]
20,check_result,clean_name_and_date_workflow.validate_scientificName_field_of_data[check_result]
21,empty_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data[empty_scientificName]
22,nonEmpty_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data[nonEmpty_scientificName]
23,final_result,clean_name_and_date_workflow.validate_scientificName_field_of_data[final_result]
24,rejected_record_count,clean_name_and_date_workflow.validate_scientificName_field_of_data[rejected_record_count]
25,match_result,clean_name_and_date_workflow.validate_scientificName_field_of_data[match_result]
26,exactMatching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data[exactMatching_local_authority_source_record]
27,fuzzyMatching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data[fuzzyMatching_local_authority_source_record]
28,nonMatching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data[nonMatching_local_authority_source_record]
29,matching_method,clean_name_and_date_workflow.validate_scientificName_field_of_data[matching_method]
30,updated_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data[updated_scientificName]
31,updated_authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data[updated_authorship]
32,accepted_record_count,clean_name_and_date_workflow.validate_scientificName_field_of_data[accepted_record_count]
33,output1_data,clean_name_and_date_workflow.validate_scientificName_field_of_data[output1_data]
36,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data[date_val_log]
37,input2_data,clean_name_and_date_workflow.validate_eventDate_field_of_data[input2_data]
38,record_id_data,clean_name_and_date_workflow.validate_eventDate_field_of_data[record_id_data]
39,eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data[eventDate]
40,RecordID,clean_name_and_date_workflow.validate_eventDate_field_of_data[RecordID]
41,others,clean_name_and_date_workflow.validate_eventDate_field_of_data[others]
42,check_result,clean_name_and_date_workflow.validate_eventDate_field_of_data[check_result]
43,empty_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data[empty_eventDate]
44,nonEmpty_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data[nonEmpty_eventDate]
45,final_result,clean_name_and_date_workflow.validate_eventDate_field_of_data[final_result]
46,rejected_record_count,clean_name_and_date_workflow.validate_eventDate_field_of_data[rejected_record_count]
47,match_result,clean_name_and_date_workflow.validate_eventDate_field_of_data[match_result]
48,compliant_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data[compliant_eventDate]
49,nonCompliant_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data[nonCompliant_eventDate]
50,updated_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data[updated_eventDate]
51,accepted_record_count,clean_name_and_date_workflow.validate_eventDate_field_of_data[accepted_record_count]
52,output2_data,clean_name_and_date_workflow.validate_eventDate_field_of_data[output2_data]
