port_id,alias
15,scientificName
16,authorship
18,others
21,scientificName
23,empty_scientificName
24,nonEmpty_scientificName
27,empty_scientificName
32,nonEmpty_scientificName
35,exactMatching_local_authority_source_record
36,fuzzyMatching_local_authority_source_record
37,nonMatching_local_authority_source_record
42,nonEmpty_scientificName
43,nonMatching_local_authority_source_record
46,nonEmpty_scientificName
47,fuzzyMatching_local_authority_source_record
49,fuzzyMatching_local_authority_source_record
50,authorship
54,authorship
55,nonEmpty_scientificName
59,nonEmpty_scientificName
62,others
63,empty_scientificName
64,nonEmpty_scientificName
65,authorship
79,eventDate
81,others
83,eventDate
85,empty_eventDate
86,nonEmpty_eventDate
89,empty_eventDate
92,rejected_record_count
94,nonEmpty_eventDate
96,compliant_eventDate
97,nonCompliant_eventDate
99,nonCompliant_eventDate
101,updated_eventDate
104,updated_eventDate
105,compliant_eventDate
107,accepted_record_count
109,others
110,updated_eventDate
111,compliant_eventDate
112,empty_eventDate
114,accepted_record_count
115,rejected_record_count
