port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
1,param,cassette_id,simulate_data_collection<-cassette_id,3,1
2,param,sample_score_cutoff,simulate_data_collection<-sample_score_cutoff,5,2
3,param,data_redundancy,simulate_data_collection<-data_redundancy,7,3
4,in,sample_spreadsheet,simulate_data_collection<-sample_spreadsheet,9,4
5,in,calibration_image,simulate_data_collection<-calibration_image,12,5
6,out,corrected_image,simulate_data_collection->corrected_image,15,6
7,out,run_log,simulate_data_collection->run_log,18,7
8,out,collection_log,simulate_data_collection->collection_log,20,8
9,out,rejection_log,simulate_data_collection->rejection_log,22,9
10,param,cassette_id,simulate_data_collection.initialize_run<-cassette_id,26,10
11,param,sample_score_cutoff,simulate_data_collection.initialize_run<-sample_score_cutoff,27,11
12,out,run_log,simulate_data_collection.initialize_run->run_log,28,12
13,param,cassette_id,simulate_data_collection.load_screening_results<-cassette_id,32,10
14,in,sample_spreadsheet,simulate_data_collection.load_screening_results<-sample_spreadsheet,33,13
15,out,sample_name,simulate_data_collection.load_screening_results->sample_name,35,14
16,out,sample_quality,simulate_data_collection.load_screening_results->sample_quality,36,15
17,out,run_log,simulate_data_collection.load_screening_results->run_log,37,12
18,param,sample_score_cutoff,simulate_data_collection.calculate_strategy<-sample_score_cutoff,41,11
19,param,data_redundancy,simulate_data_collection.calculate_strategy<-data_redundancy,42,16
20,in,sample_name,simulate_data_collection.calculate_strategy<-sample_name,43,14
21,in,sample_quality,simulate_data_collection.calculate_strategy<-sample_quality,44,15
22,out,accepted_sample,simulate_data_collection.calculate_strategy->accepted_sample,45,17
23,out,rejected_sample,simulate_data_collection.calculate_strategy->rejected_sample,46,18
24,out,num_images,simulate_data_collection.calculate_strategy->num_images,47,19
25,out,energies,simulate_data_collection.calculate_strategy->energies,48,20
26,param,cassette_id,simulate_data_collection.log_rejected_sample<-cassette_id,52,10
27,in,rejected_sample,simulate_data_collection.log_rejected_sample<-rejected_sample,53,18
28,out,rejection_log,simulate_data_collection.log_rejected_sample->rejection_log,54,21
29,param,cassette_id,simulate_data_collection.collect_data_set<-cassette_id,60,10
30,param,num_images,simulate_data_collection.collect_data_set<-num_images,61,19
31,in,accepted_sample,simulate_data_collection.collect_data_set<-accepted_sample,62,17
32,in,energies,simulate_data_collection.collect_data_set<-energies,63,20
33,out,sample_id,simulate_data_collection.collect_data_set->sample_id,64,22
34,out,energy,simulate_data_collection.collect_data_set->energy,66,23
35,out,frame_number,simulate_data_collection.collect_data_set->frame_number,68,24
36,out,raw_image_path,simulate_data_collection.collect_data_set->raw_image_path,70,25
37,out,run_log,simulate_data_collection.collect_data_set->run_log,74,12
38,in,sample_id,simulate_data_collection.transform_images<-sample_id,79,22
39,in,energy,simulate_data_collection.transform_images<-energy,80,23
40,in,frame_number,simulate_data_collection.transform_images<-frame_number,81,24
41,in,raw_image_path,simulate_data_collection.transform_images<-raw_image_path,82,25
42,in,calibration_image,simulate_data_collection.transform_images<-calibration_image,84,26
43,out,corrected_image,simulate_data_collection.transform_images->corrected_image,86,27
44,out,corrected_image_path,simulate_data_collection.transform_images->corrected_image_path,88,28
45,out,total_intensity,simulate_data_collection.transform_images->total_intensity,89,29
46,out,pixel_count,simulate_data_collection.transform_images->pixel_count,90,30
47,out,run_log,simulate_data_collection.transform_images->run_log,91,12
48,param,cassette_id,simulate_data_collection.log_average_image_intensity<-cassette_id,95,10
49,param,sample_id,simulate_data_collection.log_average_image_intensity<-sample_id,96,22
50,param,frame_number,simulate_data_collection.log_average_image_intensity<-frame_number,97,24
51,in,corrected_image_path,simulate_data_collection.log_average_image_intensity<-corrected_image_path,98,28
52,in,total_intensity,simulate_data_collection.log_average_image_intensity<-total_intensity,99,29
53,in,pixel_count,simulate_data_collection.log_average_image_intensity<-pixel_count,100,30
54,out,collection_log,simulate_data_collection.log_average_image_intensity->collection_log,101,31
55,param,sample_name,calculate_strategy<-sample_name,106,14
56,param,sample_quality,calculate_strategy<-sample_quality,107,15
57,param,sample_score_cutoff,calculate_strategy<-sample_score_cutoff,108,11
58,param,data_redundancy,calculate_strategy<-data_redundancy,109,16
63,param,cassette_id,collect_next_image<-cassette_id,116,10
64,param,sample_id,collect_next_image<-sample_id,117,22
65,param,num_images,collect_next_image<-num_images,118,19
66,param,energies,collect_next_image<-energies,119,20
67,param,image_path_template,collect_next_image<-image_path_template,120,32
72,param,raw_image_path,transform_image<-raw_image_path,127,34
73,param,corrected_image_path,transform_image<-corrected_image_path,128,28
74,param,calibration_image_path,transform_image<-calibration_image_path,129,35
